"Build Name","Test Name","OS","Browser","Resolution","Date","Score","Result URL"
"12.0.7","Store Credit Module Test 2","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:33:51.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73842842/6eb7b038"
"12.0.7","Store Credit Module Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:29:04.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73842677/05752aa9"
"12.0.7","Multiple Ship To Module Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:27:00.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73842608/ba1ecc06"
"12.0.7","Custom Shipping Methods - Restrictions Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:23:16.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73842545/4fab4f9b"
"12.0.7","Custom Shipping Methods Orders Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:22:43.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73842525/44e27813"
"12.0.7","Custom Shipping Methods Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:17:07.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73842363/60e714f4"
"12.0.7","Category Filters Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:05:20.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73841990/32ea338b"
"12.0.7","Categories Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T21:02:34.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73841928/564e60ea"
"12.0.7","Categories Display Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T20:58:06.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73841814/75e903cc"
"12.0.7","Blog Module Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T20:53:13.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73841722/4a713fe8"
"12.0.7","Wish List Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T19:07:42.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838928/dccf4430"
"12.0.7","Waiting List Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T19:04:24.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838785/d29d50fd"
"12.0.7","Titles and Content - WishList Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:58:59.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838602/c80367b6"
"12.0.7","Titles and Content - RMAT Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:56:30.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838534/a760400a"
"12.0.7","Titles and Content - Rewards Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:51:54.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838430/ac1d9d9d"
"12.0.7","Titles and Content -  Reminders Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:49:11.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838359/12e38fad"
"12.0.7","Titles and Content - Main Pages Part 2 Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:48:40.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838334/917e4dda"
"12.0.7","Titles and Content - Main Pages Part 1 Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:40:23.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73838070/0b055b2c"
"12.0.7","Titles and Content - Gift Registry Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:32:55.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73837810/44fa5010"
"12.0.7","Titles and Content - GDPR Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:29:45.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73837721/4e8f1274"
"12.0.7","Titles and Content - CRM Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:26:29.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73837647/7c0b30e4"
"12.0.7","Titles and Content - Affiliate Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:21:50.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73837490/e4b97e34"
"12.0.7","Titles and Content - Account Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:15:13.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73837310/7ae0259d"
"12.0.7","Titles and Content - Product Comparision Pages Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:13:10.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73837218/67ac4be7"
"12.0.7","In Store PickUp Module Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T18:00:35.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73836716/b006b02b"
"12.0.7","RMA Module Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T17:56:45.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73836598/66ef3e07"
"12.0.7","Reward Points Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T17:46:14.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73836293/7021e86f"
"12.0.7","Restricting Page Content Access Test","Windows 10","Google Chrome 96","1366x768","2022-02-18T17:44:00.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/73836235/e7ca0572"
