"Build Name","Test Name","OS","Browser","Resolution","Date","Score","Result URL"
"12.0.9","Store Credit Module Test 2","Windows 10","Google Chrome 96","1366x768","2022-03-04T19:08:42.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74330826/b92e2c38"
"12.0.9","Store Credit Module Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T19:03:05.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74330646/4f910cf0"
"12.0.9","Multiple Ship To Module Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T19:00:42.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74330573/d8ea5be2"
"12.0.9","Custom Shipping Methods Restrictions Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:55:30.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74330430/08e28339"
"12.0.9","Custom Shipping Methods Orders Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:46:43.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74330258/1eff9c5c"
"12.0.9","Custom Shipping Methods Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:40:08.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74330100/b4552566"
"12.0.9","Category Filters Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:24:41.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74329813/c197885f"
"12.0.9","Categories Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:15:57.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74329535/a7bdfb16"
"12.0.9","Categories Display Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:10:00.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74329326/2ca76e09"
"12.0.9","Blog Module Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T18:04:27.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74329107/f43a094b"
"12.0.9","Wish List Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T17:47:02.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74328453/4f81b138"
"12.0.9","Waiting List Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T17:44:09.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74328389/b0cd0944"
"12.0.9","Titles and Content - WishList Pages Test","Windows 10","Google Chrome 96","1366x768","2022-03-04T17:39:54.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/74328297/80b24ff0"
