"Build Name","Test Name","OS","Browser","Resolution","Date","Score","Result URL"
"12.1.3","ZExample","Windows 10","Google Chrome 96","1366x768","2022-04-22T18:28:57.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76162791/5077cafa"
"12.1.3","Store Credit Module Test 2","Windows 10","Google Chrome 96","1366x768","2022-04-22T18:24:00.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76162681/ab69f67d"
"12.1.3","Store Credit Module Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T18:19:26.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76162573/b51f203c"
"12.1.3","Multiple Ship To Module Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T18:17:47.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76162547/8641174a"
"12.1.3","Custom Shipping Methods Restrictions Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T18:12:15.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76162433/56108035"
"12.1.3","Custom Shipping Methods Orders Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T18:02:34.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76162151/b6609d3c"
"12.1.3","Custom Shipping Methods Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:54:36.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76161997/28b182dc"
"12.1.3","Category Filters Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:44:15.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76161793/689b3a28"
"12.1.3","Categories Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:37:44.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76161738/e3c8d8c8"
"12.1.3","Categories Display Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:31:54.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76161623/5373ff15"
"12.1.3","Blog Module Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:26:15.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76161476/6ffc110c"
"12.1.3","Wish List Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:06:23.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160966/ea3e51ac"
"12.1.3","Waiting List Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T17:03:11.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160884/0d3f48d2"
"12.1.3","Titles and Content - WishList Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:57:34.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160635/21872885"
"12.1.3","Titles and Content - RMA Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:52:10.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160492/49d4a493"
"12.1.3","Titles and Content - Rewards Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:47:02.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160295/e14c84be"
"12.1.3","Titles and Content - Reminders Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:43:52.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160153/86d7da91"
"12.1.3","Titles and Content - Product Comparision Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:41:36.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76160053/2ce0c83d"
"12.1.3","Titles and Content - Main Pages Part 2 Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:36:56.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76159870/f1802e84"
"12.1.3","Titles and Content - Main Pages Part 1 Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:27:40.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76159594/9cec0e32"
"12.1.3","Titles and Content - Gift Registry Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:20:11.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76159285/b1841fa6"
"12.1.3","Titles and Content - GDPR Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:16:33.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76159159/9f01349d"
"12.1.3","Titles and Content - CRM Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:13:11.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76158994/c9e4a0e3"
"12.1.3","Titles and Content - Affiliate Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T16:07:23.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76158755/409f0f5c"
"12.1.3","Titles and Content - Account Pages Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:58:44.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76158359/fdfa67d5"
"12.1.3","RMA Module Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:53:45.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76158203/36b2ce3d"
"12.1.3","Reward Points Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:41:49.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76157921/855fdcc8"
"12.1.3","Restricting Page Content Access Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:39:23.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76157854/a55863bc"
"12.1.3","Recurring Orders Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:23:30.000Z","unset","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76157474/46a3bed0"
"12.1.3","Promotion Settings Coupon Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:14:27.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76157148/4f566e51"
"12.1.3","Promotion Settings Automatic Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T15:06:06.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76156942/1e0cbd32"
"12.1.3","Product Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T14:54:19.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76156679/7486e829"
"12.1.3","Product Review Module Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T14:48:19.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76156587/e7b716af"
"12.1.3","Product Price Level Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T14:41:49.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76156436/98ec3a98"
"12.1.3","Product Price Editor Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T14:36:50.000Z","pass","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76156341/4bfa0131"
"12.1.3","Phone Order Test","Windows 10","Google Chrome 96","1366x768","2022-04-22T14:34:42.000Z","fail","https://app.crossbrowsertesting.com/public/ib2a03a200809cd7/selenium/76156304/e4ac46a8"
